id;title;content;date
1;yahoo;../fake-data/blob/hipster.txt;2024-03-12T07:41:45
2;till vivaciously wretched;../fake-data/blob/hipster.txt;2024-03-12T00:09:05
3;atop;../fake-data/blob/hipster.txt;2024-03-12T00:02:48
4;orphan turbulent;../fake-data/blob/hipster.txt;2024-03-12T08:53:52
5;normalize inexperienced trump;../fake-data/blob/hipster.txt;2024-03-12T07:24:35
6;animal extreme;../fake-data/blob/hipster.txt;2024-03-12T07:49:11
7;however handy delightfully;../fake-data/blob/hipster.txt;2024-03-12T05:16:47
8;deafen;../fake-data/blob/hipster.txt;2024-03-11T23:49:39
9;bet;../fake-data/blob/hipster.txt;2024-03-11T11:04:28
10;pro why duh;../fake-data/blob/hipster.txt;2024-03-11T15:51:15
